state_abbrev,year,earthquake_count,max_magnitude,log_seismic_energy
MO,2016,2,3.3,11.701468216730344
ID,2016,6,3.8,13.827796573538121
CO,2016,10,5.3,18.41953378006401
FL,2016,5,3.8,14.609945236402243
TN,2016,1,3.44,11.881345998135053
VA,2016,2,3.7,12.873618841165877
IL,2016,1,3.5,12.08857736161618
AL,2016,2,3.0,11.054795910296454
NE,2016,2,3.5,12.392239613626796
ME,2016,2,3.6,12.737626165353069
CO,2017,19,4.2,16.11954584225609
OK,2017,263,4.3,17.442348868155474
WY,2017,173,4.0,16.58204469680095
MT,2017,82,5.8,20.125935045381162
MN,2017,5,3.2,12.152607736233712
NV,2017,29,4.1,15.357517016766987
TX,2017,18,3.9,14.208260948754736
KS,2017,45,3.7,15.460384680067182
OR,2017,4,3.96,14.373803338673351
NM,2017,3,3.8,13.288767169539613
DE,2017,1,4.1,14.160899029858914
ID,2017,226,5.3,19.332425417583888
CA,2017,100,4.58,17.337147494794912
AR,2017,2,3.64,13.198570047895974
WA,2017,17,4.09,14.94817718002269
UT,2017,6,3.73,13.647568032194625
IL,2017,3,3.8,13.284406981463102
VA,2017,1,3.2,11.052424295177753
AZ,2017,1,3.4,11.743191917520432
MO,2017,5,3.59,13.056244065515388
SD,2017,1,3.0,10.361664540749818
TN,2017,1,3.05,10.534353407344389
GA,2017,1,3.2,11.052424295177753
OH,2017,3,3.4,12.554645865314427
AZ,2018,4,3.2,12.049481095923671
WY,2018,162,3.6,16.372169075492327
OK,2018,164,4.6,17.534076058396817
ID,2018,16,4.4,15.714989839317749
TX,2018,29,4.0,14.908229186010066
NM,2018,6,3.6,12.996293186953373
MT,2018,25,3.8,14.74431952089596
NV,2018,15,4.5,15.716335638660903
UT,2018,14,3.82,14.4582365562181
TN,2018,5,4.4,15.247421184066985
NE,2018,13,4.1,15.249637730973792
CO,2018,9,4.1,14.748232767371105
KS,2018,22,3.9,14.850905636399277
WA,2018,6,4.08,14.623849377782248
CA,2018,3,4.3,14.878383423339745
OR,2018,3,3.08,11.62817399769155
MN,2018,4,3.2,11.970129175237833
LA,2018,1,4.6,15.887837267551447
MI,2018,1,3.4,11.743191917520432
MO,2018,1,3.64,12.572118075109982
ID,2019,15,3.46,13.862235929998857
WY,2019,145,3.7,16.517803393244765
OK,2019,55,4.4,16.287890299238363
TX,2019,22,4.0,15.008997780695147
AZ,2019,8,3.8,14.214274932165587
NV,2019,41,4.6,16.850116223220127
WA,2019,8,4.58,15.923626627213963
MT,2019,35,4.6,16.529863135805684
KS,2019,25,4.6,16.460170591198665
CO,2019,9,3.8,13.92649328446356
OR,2019,4,4.53,15.717559926946523
NM,2019,7,3.6,13.155639148716794
MN,2019,6,3.2,12.3641706674979
MO,2019,3,3.27,11.929901435443078
UT,2019,15,4.49,16.10192791810263
AR,2019,1,3.7,12.779350084495915
CA,2019,6,3.9,14.056210191365976
